Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,12.07,1.61,4.62,3.18,4.52,0.29,0.4,0,2.23,0,4.8,11.61
1896,8.66,3.36,3.24,7.23,5.91,1.02,0,1.2,0.43,3.42,17.31,8.10
1897,2.95,7.23,5.92,1.8,1.13,2.17,0.09,0.4,1.63,2.47,12.1,7.36
1898,3.96,5.69,2.43,2.52,2.34,1.38,0.24,0.12,3.27,1.66,8.94,3.76
1899,6.5,5.83,5.34,3.77,2.35,0.44,0.07,2.86,1.08,4.11,11.33,7.85
1900,4.91,4.16,4.84,1.78,3.28,2.11,0.27,0.21,2.6,6.09,3.6,6.22
1901,8.78,6.51,4.3,3.2,1.93,1.13,0,0.19,2.82,2.31,6.44,5.27
1902,4.6,12.32,7.21,4.07,2.96,0.28,1.49,0,1.2,1.78,11.66,10.29
1903,7.51,1.7,2.78,2.78,0.98,1.13,0.35,0.46,0.38,1.79,12.29,3.19
1904,5.77,15.79,12.12,1.89,0.79,0.33,0.88,0.11,0.61,2.84,7.76,9.38
1905,5.14,3.06,7.31,0.7,2.2,1.47,0,0,1.3,4.93,3.16,6.59
1906,7.49,7.01,2.51,2.47,3.18,2.92,0,0,2.32,2.8,9.69,7.00
1907,9.3,5.58,5.59,3.09,1.32,1.15,0.25,1.19,1.21,1.37,8.21,13.79
1908,4.4,4.25,5.02,2.06,2.99,1.43,0,1.04,0.24,4.5,4.16,4.96
1909,14.11,9.44,2,0.27,1.44,0.31,1.14,0.11,1.2,4.68,11.96,5.14
1910,4.68,7.81,1.25,2.56,0.87,1.79,0,0.01,0.89,2.66,10.83,4.49
1911,11.77,2.71,0.78,3.11,4.37,1.09,0.03,0.02,4.43,1.38,4.75,5.47
1912,9.03,5.42,3.8,2.07,2.23,1.55,0.19,2.26,2.63,3.13,9.22,6.76
1913,6.6,1.26,4.43,2.86,1.96,2.98,0.97,0.39,2.42,3.71,6.24,3.23
1914,11.89,4.59,3.23,4.53,1.65,2.23,0,0,3.98,5.15,4.73,3.78
1915,6.41,3.73,1.9,1.45,2.48,0.56,1.13,0,0.4,1.33,10.16,8.60
1916,6.51,7.28,11.2,1.98,2.88,1.51,2.42,0.03,0.62,1.15,6.86,5.92
1917,3.25,3.89,5.03,5.04,1.56,0.89,0,0.01,2.27,0,5.03,14.17
1918,7.53,7.97,3.32,1.31,1.15,0,0.47,0.45,0.58,2.69,4.87,4.43
1919,10.33,11.04,6.2,3.6,1.37,0.23,0.1,0.15,3.19,2.11,6.73,7.37
1920,2.06,0.12,5.4,2.91,0.53,1.92,0.42,0.82,5.6,4.86,5.56,8.27
1921,7.42,5.58,4.38,2.06,1.63,0.98,0,0.08,2.07,3.76,11.1,3.61
1922,3.94,5.02,6.02,1.84,0.8,0.02,0,0.9,2.08,5.06,3.18,11.53
1923,10.69,2.25,2.67,2.81,1.03,1.13,1.12,0.2,0.73,2.49,4.13,8.63
1924,4.44,3.88,3.04,0.75,0.49,0.69,0,1.12,2.3,7.88,9.22,6.00
1925,7.56,8.05,1.49,3.24,2.12,1.2,0.06,0.91,1.08,0.05,5.3,4.28
1926,3.61,10.69,0.45,0.83,1.89,0.09,0,1.73,0.84,4.43,10.23,6.78
1927,12.12,9.34,3.07,1.62,1.9,2.54,0.02,0.22,2.62,3.08,8.33,4.80
1928,5.26,1.71,8.24,4.11,0.5,0.42,0.03,0,1.75,1.67,9.78,7.28
1929,3.73,0.38,2.59,3.78,0.42,1.33,0,0.03,0.27,0.69,0.31,11.87
1930,3.11,5.25,1.53,3.08,1.19,0.98,0,0,2.08,1.49,3.45,2.41
1931,4.9,2.93,5.93,1.32,0.2,3.48,0,0,1.56,3.96,6.83,9.45
1932,6.79,2.15,5.25,2.46,2.33,0.25,0.63,0.86,0,3.47,5.07,8.39
1933,8.23,5.33,4.18,0.79,3.84,0.87,0,0.72,1.74,2.77,1.04,14.90
1934,5.81,1.02,2.21,2.01,1.33,0.25,0.27,0.1,0.59,4.73,10.08,8.40
