Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,11.97,1.77,4.41,2.76,4.69,0.43,0.39,0.16,2.56,0.12,4.37,13.03
1896,9.53,4.41,3.46,5.59,5.47,0.75,0,0.83,0.67,2.99,16.5,9.33
1897,3.35,6.81,7.56,2.01,1.3,2.36,0.75,0.43,2.13,2.36,12.24,9.96
1898,4.06,7.09,2.24,2.4,1.97,1.85,0.43,0.28,3.23,1.89,7.76,4.17
1899,6.54,6.3,4.88,3.82,2.91,0.83,0.12,2.2,1.3,3.7,8.58,7.01
1900,5.08,4.06,4.13,1.57,4.29,1.85,0.12,0.28,2.4,4.88,4.17,5.98
1901,7.36,5.63,4.69,3.07,2.13,0.71,0,0.28,3.58,1.22,6.14,4.80
1902,3.15,8.86,4.69,2.52,2.28,0.47,1.73,0.04,0.87,1.34,10.79,9.29
1903,7.44,1.69,3.78,2.2,1.38,1.54,0.47,0.59,0.94,2.09,10.94,3.43
1904,5.67,12.95,10.35,2.28,0.71,0.59,0.98,0.16,0.67,2.8,7.52,8.62
1905,4.88,2.76,6.06,1.02,2.28,1.57,0.08,0.04,2.32,4.76,3.19,6.42
1906,6.61,6.61,2.44,1.89,3.03,2.68,0,0,2.52,2.72,8.78,7.13
1907,7.64,5.31,4.29,3.15,1.46,1.81,0.63,1.26,1.85,1.22,6.1,11.46
1908,4.69,4.17,4.25,2.17,3.82,1.14,0.08,1.02,0.35,4.33,4.33,4.80
1909,10.43,8.11,2.09,0.63,1.46,0.31,1.38,0.2,1.1,3.94,13.66,5.16
1910,6.38,6.97,1.81,2.6,1.73,1.26,0,0.08,1.1,2.99,11.06,4.69
1911,9.8,3.03,0.91,2.76,3.66,0.91,0.08,0,4.57,1.26,4.33,5.24
1912,9.17,5.59,3.27,2.72,2.56,2.99,0.55,2.48,2.4,3.5,7.24,7.01
1913,6.69,1.42,4.92,3.03,2.01,3.43,0.59,0.39,2.32,3.62,6.61,3.50
1914,12.05,4.76,3.23,3.62,1.69,2.01,0,0,4.17,4.92,4.69,3.39
1915,5.94,3.94,2.4,1.77,3.7,0.75,1.22,0,0.71,1.85,10.91,9.13
1916,6.57,7.68,10.47,2.87,2.83,1.54,2.8,0.35,0.98,1.3,7.48,5.59
1917,3.7,4.06,5.51,4.84,2.09,1.02,0,0,1.77,0.04,4.76,15.79
1918,6.61,7.76,3.86,1.22,1.34,0.04,0.55,0.67,0.51,3.74,5.39,4.76
1919,10.31,9.29,5.98,3.98,2.13,0.63,0.12,0.08,2.91,2.36,7.56,6.34
1920,3.94,0.28,4.72,3.43,0.94,2.48,0.87,1.18,4.76,4.92,5.98,9.29
1921,7.48,7.24,4.72,2.09,1.46,1.14,0,0.08,2.64,3.78,11.69,3.70
1922,3.66,4.33,6.38,2.2,1.22,0.08,0,1.46,2.09,4.45,2.95,10.94
1923,11.69,2.17,2.6,2.48,1.57,1.69,1.22,0.12,0.87,2.48,3.66,7.01
1924,3.58,4.69,2.13,0.87,0.47,0.35,0.04,0.83,2.17,6.93,8.86,5.59
1925,7.87,7.68,1.73,2.91,2.24,1.02,0,0.91,1.34,0.08,5.35,5.08
1926,3.86,9.57,0.67,1.06,2.83,0.28,0,1.93,1.34,4.41,9.29,5.28
1927,9.65,8.7,3.03,1.65,2.28,1.97,0.04,0.12,3.39,3.43,8.86,3.78
1928,5.31,1.85,7.83,4.49,0.83,0.67,0.16,0,1.34,1.89,6.69,7.28
1929,3.86,1.02,2.91,3.9,1.14,1.93,0,0.04,0.2,1.1,0.67,11.57
1930,3.43,6.02,1.85,3.19,2.28,0.98,0,0,1.93,1.73,3.7,2.99
1931,5.2,3.19,5.91,2.56,0.55,3.35,0,0,1.77,4.53,7.28,9.33
1932,6.42,2.91,6.22,2.95,2.87,0.31,0.63,0.51,0.04,4.13,7.52,7.83
1933,8.5,5.16,5.28,0.83,4.17,1.38,0,0.79,2.4,2.83,1.89,14.65
1934,6.26,1.34,3.46,2.32,1.5,0.71,0.16,0.2,0.98,5,10,9.61
1935,4.84,3.66,5.35,2.13,0.39,0.39,0.47,0.16,1.42,2.87,2.87,5.31
1936,10.35,5.71,2.64,1.77,3.78,2.17,0.47,0,0.98,0.2,0.43,6.85
1937,5.71,8.66,3.5,7.52,1.85,4.61,0.16,0.71,0.94,3.7,10.79,11.61
1938,5.08,7.24,8.78,1.93,0.83,0.2,0.28,0.04,1.54,3.07,5.08,4.72
1939,5.2,5.08,2.8,0.35,1.14,1.06,0.55,1.02,0.59,3.11,1.06,9.33
1940,4.29,11.42,5.24,1.85,2.48,0.12,0.43,0,3.15,4.29,5.87,5.75
1941,5.16,1.69,1.81,2.17,4.02,1.06,0.08,1.38,3.82,2.64,6.46,10.12
1942,4.57,4.25,1.57,1.77,3.7,1.73,0.67,0.12,0.04,1.69,14.45,11.50
1943,6.89,4.17,5.31,3.54,1.38,2.13,0.35,1.89,0.08,6.42,2.99,3.03
1944,3.78,3.43,2.28,3.31,1.02,1.18,0.16,0.04,1.93,1.34,5,2.80
1945,4.76,6.3,6.69,3.19,3.94,0.24,0.39,0.16,2.4,1.5,11.77,7.32
1946,6.3,5.24,5.75,1.18,0.98,1.61,0.83,0.08,1.73,4.92,8.9,5.20
1947,3.74,3.58,5.31,2.32,0.2,3.74,1.85,0.59,1.06,10.51,4.61,4.25
1948,8.03,6.57,4.69,3.62,3.94,0.79,0.71,0.67,2.83,2.44,7.68,9.17
1949,1.73,11.73,3.27,0.67,2.87,0.98,0.24,0.24,1.61,2.28,5.94,5.87
1950,12.17,6.57,5.51,1.65,0.94,1.42,0.39,0.71,1.3,11.38,9.76,6.61
1951,9.33,5.55,4.92,0.83,2.17,0,0.12,0.35,1.65,7.72,6.93,8.46
1952,6.1,5.35,3.43,1.34,0.55,3.5,0,0.12,0.43,0.75,1.5,7.87
1953,12.91,5.35,4.92,2.2,3.86,1.69,0,1.85,0.71,3.78,7.76,8.58
1954,11.73,5.31,3.19,3.07,1.1,2.87,0.55,1.18,1.34,3.66,5.63,6.65
