Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,37.31,40.69,43.23,49.41,53.2,59.61,63.43,63.9,54.73,51.85,41.27,39.33
1896,41.23,44.11,43.61,45.54,50.43,58.53,67.08,64.87,58.24,52.07,37.58,42.8
1897,38.12,42.04,40.28,52.68,59.5,59.94,62.22,68.02,58.35,52.05,44.92,42.6
1898,38.68,44.85,43.14,51.03,54.25,60.31,63.82,66.09,60.89,49.95,42.75,36.7
1899,42.01,37.58,42.76,47.39,51.87,57.78,64.31,60.64,61.59,50.47,50.14,40.96
1900,41.61,41.36,50.32,50.72,54.79,60.93,63.97,60.94,57.99,51.87,47.98,43.43
1901,38.19,41.47,45.43,48.78,55.4,56.79,61.47,66.67,56.98,56.86,46.78,39.47
1902,37,44.94,44.13,47.75,54.46,59.72,63.07,65.21,59.29,52.9,43.57,39.51
1903,39.97,37.67,43.77,47.08,54.55,60.82,61.34,63.28,60.01,51.84,44.28,38.89
1904,39.83,40.32,42.15,52.66,55.11,60.76,64.11,65.61,60.98,53.47,47.3,41.11
1905,39.43,41.76,49.1,52.5,53.96,59.56,67.77,64.81,60.71,50.02,41.68,38.82
1906,42.8,43.88,43.65,53.04,54.45,56.95,69.66,66.38,60.55,53.1,45.18,42.55
1907,35.76,46.45,43.97,51.04,56.43,60.4,64.74,63.93,60.26,55.42,45.93,42.78
1908,41.14,41.47,44.85,50.49,50.4,57.94,68.77,63.72,58.44,51.64,46.72,37.4
1909,34.81,42.71,45.97,48.51,51.4,59.88,61.36,62.24,60.67,53.24,43.97,34.5
1910,37.02,37.17,47.08,49.89,56.82,57.45,65.03,62.04,58.39,52.79,43.75,40.03
1911,34.27,37.33,46.35,45.7,50.32,55.83,68.83,66.79,53.38,50.58,43.77,38.97
1912,41.45,45.25,43.02,47.68,56.17,60.48,64.45,60.08,59.25,48.51,44.31,40.62
1913,37.96,38.12,44.19,48.79,53.83,59.34,64.17,65.59,58.78,51.62,45.63,40.06
1914,44.28,41.85,49.28,51.87,56.86,57.24,66.34,64.35,58.28,54.82,44.65,34.83
1915,38.12,43.27,49.84,53.89,54.05,61.65,63.9,67.57,60.76,52.12,43.65,43.79
1916,31.71,45.5,45.43,49.91,51.1,58.8,61.9,66.85,59.05,48.18,40.14,36.7
1917,37.6,39.43,39.65,46.78,51.64,58.53,65.88,67.95,59.72,53.47,46.04,46.02
1918,44.08,40.68,43.92,49.78,51.76,63.93,63.72,64.08,64.54,53.22,42.91,39.11
1919,38.3,40.87,44.78,50.11,52.68,57.76,65.61,65.34,59.45,47.79,42.64,33.66
1920,38.59,39.15,42.93,46.6,51.04,59.13,64.17,66.38,58.01,50.59,43.38,41.97
1921,39.07,44.28,45.84,48.13,53.8,60.76,62.69,63.86,57.27,54.21,46.47,37.44
1922,34.68,38.17,41.7,45.68,55.22,62.08,65.21,63.66,60.96,52.11,39.42,37.17
1923,39.63,36.45,43.02,49.73,54.25,59.22,65.1,67.82,61.77,53.02,46.6,40.03
1924,37.04,46.02,43.52,50.52,58.01,61.25,62.89,63.81,59.5,51.49,42.46,33.78
1925,42.91,45.12,45.5,51.6,57.6,60.82,66.7,63.72,59.94,52.25,44.38,43
1926,39.54,46.22,50.13,56.43,55.85,63.45,65.93,64.71,58.5,54.14,47.01,40.37
1927,38.68,42.4,43.88,47.68,52.57,60.66,65.16,65.16,59.34,52.5,47.19,36.63
1928,38.75,42.4,48.34,48.36,58.35,59.56,65.91,64.8,59.5,51.76,44.35,38.46
1929,34.27,35.85,45.82,45.95,55.09,59.43,65.03,66.25,61.88,55.47,42.1,42.28
1930,27.45,44.58,48.65,53.42,52.59,59.34,64.27,66.94,60.55,51.17,42.64,38.07
1931,41.68,41.79,46.76,53.38,59.65,60.13,67.42,66.27,59.52,53.01,42.46,38.52
1932,38.21,40.46,46.09,49.5,54.25,62.89,62.01,65.66,62.55,54.95,46.45,35.38
1933,37.11,37.08,44.49,49.64,50.13,58.91,65.3,66.38,56.71,50.88,43.29,44.87
1934,44.29,46.06,53.22,56.14,58.1,61.57,64.58,66.11,60.42,55.67,47.8,40.95
1935,37.4,43.03,41.29,49.93,54.54,62.11,65.1,66.16,64.58,51.19,40.66,38.66
1936,42.08,35.96,43.7,52.83,58.19,62.24,65.46,66.22,61.23,55.98,42.04,41.22
1937,30.04,39.56,47.32,47.32,56.1,62.06,66.18,64.29,61.92,56.62,47.5,41.49
1938,39,41.49,44.89,51.66,56.97,62.31,68.45,63.64,64.44,53.29,41.47,41.25
1939,40.98,38.84,47.01,53.13,56.93,58.98,66.27,67.19,62.47,53.74,46.81,44.15
1940,40.03,44.64,49.26,52.21,59.31,63.97,65.25,67.24,62.76,56.26,42.49,42.17
1941,41.4,45.18,50.97,52.14,55.51,60.21,69.57,65.23,58.66,52.36,45.43,41.11
1942,35.15,40.73,44.73,51.64,54.59,59.32,67.23,67.03,62.11,54.27,44.67,42.62
1943,33.66,44.02,44.87,52.38,53.51,58.33,65.01,63.14,64.13,53.11,44.47,37.98
1944,37.99,41.83,44.76,49.26,54.88,59.61,65.44,65.59,64.22,57.13,43.05,37.2
1945,40.82,43.84,43.84,48.27,56.73,60.94,66.85,65.43,59.72,53.33,44.46,40.41
1946,39.25,41.81,45.3,49.84,57.65,57.72,65.19,65.86,58.95,49.08,42.3,40.21
1947,35.76,44.56,49.1,51.89,58.95,58.84,62.8,63.72,62.51,53.06,45.77,41.25
1948,38.98,39.92,43.39,45.9,54.21,63.81,63.79,63.05,60.12,50.88,42.73,35.69
1949,27.79,39.25,45.86,52.05,57.36,61.12,63.37,63.64,61.48,47.97,48.09,39.25
1950,29.35,39.99,43.38,48.04,53.78,60.21,65.77,67.06,61.52,51.28,45.64,46.2
1951,38.44,42.75,40.86,51.8,55.08,62.44,64.06,65.03,61.66,52.18,44.71,37.36
1952,37.56,41.5,43.63,51.17,55.22,58.35,66.65,65.3,63.99,57.09,37.51,40.78
1953,45.82,42.93,44.37,48.85,52.79,56.43,64.36,64.29,62.28,52.9,46.94,41.65
1954,39.2,41.59,42.58,48.85,55.72,57.02,62.65,62.96,59.2,50.85,48.29,39.67
1955,37.83,39.58,40.78,44.35,52.11,59.4,61.07,63.81,59.74,52.56,42.19,40.59
1956,40.77,35.78,43.39,50.49,57.85,57.51,66.72,65.08,61.7,50.86,41.49,39.34
1957,31.55,41.79,46.2,50.85,57.36,61.09,63.48,62.83,64.26,52.63,41.79,42.57
1958,40.89,47.7,44.13,49.6,59.76,63.54,70.16,69.62,61.92,54.41,46.06,44.53
1959,41.65,41.07,44.96,50.05,53.02,60.15,67.46,65.1,58.82,53.87,43.79,39.31
1960,35.42,41.67,44.46,49.08,52.25,61.43,67.08,63.5,61.21,53.4,44.91,38.62
1961,43.03,45.86,45.72,49.53,54.09,63.34,66.24,68.58,58.53,52.02,41.59,40.98
1962,36.54,41.18,43.21,51.44,50.85,58.95,64.49,64.02,62.19,52.52,46.76,41.5
1963,34,47.43,44.55,46.67,55.17,59.11,61.93,65.07,64.17,53.56,45.97,38.71
1964,40.75,40.78,43.23,47.34,51.53,58.15,64.47,63.68,58.48,53.4,41.76,40.08
1965,39.49,43.12,47.35,50.94,52.61,59.16,66.45,66.43,60.39,54.72,47.75,38.05
1966,39.51,40.62,44.47,51.03,55.54,60.93,64.63,66.06,62.8,52.48,46.71,43.74
1967,43.03,43.02,43.57,44.65,54.91,63.3,67.03,70.81,65.37,52.74,46.76,40.87
1968,39.6,47.95,47.05,47.19,53.64,60.35,65.91,63.93,60.28,50.85,45.72,38.26
1969,34.23,39.06,45.84,48.07,57.7,63.95,64.2,63.32,61.77,50.77,44.89,41.29
1970,40.89,44.73,46,46.29,54.3,63.75,66.02,65.23,58.57,51.21,45.84,39.45
1971,39.22,40.77,42.3,47.79,54.46,56.88,65.68,67.42,58.84,50.14,43.72,38.86
1972,38.35,42.64,47.84,46.02,56.41,61.38,68.29,68.63,59.38,52.66,46.83,34.81
1973,37.83,44.56,44.65,49.71,56.68,61.39,66.87,63.64,62.44,52.48,43.84,43.74
1974,36.46,41,45.63,48.88,53.06,61.54,64.54,67.01,65.98,52.57,46,43.05
1975,42.48,40.87,43.93,44.78,54.21,59.22,65.53,63.23,63.64,52.09,43.79,42.12
1976,41.09,40.98,43.38,47.71,54.19,57.2,64.81,64.18,62.98,53.69,46.9,37.31
1977,37.22,44.47,43.66,50.31,51.62,61.11,63.86,69.64,59.34,53.53,44.02,43.75
1978,41.74,45.59,49.05,49.84,53.67,62.89,66.6,66.45,59.68,53.69,39.83,36.19
1979,31.53,41.5,48.33,50.18,55.51,60.98,66.4,64.74,63.12,56.55,43.61,43.41
1980,37.31,43.03,45.59,50.97,53.89,57.97,66.43,63.23,61.77,54.16,46.98,42.8
1981,40.53,42.64,46.74,49.93,54.34,59.16,65.37,68.27,62.11,51.26,46.85,42.66
1982,37.62,41.83,44.73,46.76,55.11,62.42,64.31,65.91,61.38,53.08,41.74,40.77
1983,41.99,45.41,49.01,49.86,56.77,59.14,62.73,66.27,60.12,51.64,47.34,35.6
1984,41.59,43.63,48.83,47.79,52.9,57.88,65.8,64.89,60.75,50.16,44.85,37.58
1985,35.01,39.94,43.21,51.76,54.77,61.07,69.42,65.17,58.46,51.94,37.87,32.54
1986,42.42,43.41,50.65,48.96,54.82,64.04,62.91,69.44,59.04,54.88,46.69,38.98
1987,39.34,43.83,47.14,52.52,57.88,63.23,64.78,67.59,62.53,57.16,47.01,38.82
1988,38.68,43.2,46.17,51.24,53.73,59.86,66.83,65.98,62.1,57.13,46.33,39.74
1989,40.64,34.93,45.32,54.55,55.15,63.05,63.82,64.35,63.95,52.18,46.11,39.22
1990,42.03,39.94,47.41,52.52,54,60.84,68.52,67.75,64.74,50.88,45.84,33.55
1991,38.55,47.86,44.33,48.58,52.21,57.15,66.96,67.21,65.57,54.45,47.03,40.89
1992,43.03,47.12,50.31,53.42,60.06,65.08,67.8,68.16,61.57,54.72,45.55,38.66
1993,34.54,38.59,48.9,50.02,58.5,60.03,62.33,66.92,62.35,55.83,39.38,38.68
