Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov," Dec""", Dec
1895,38.64,42.83,45.1,51.27,55.28,61.73,65.61,65.31,56.95,53.33,43.1,"41.25""",41.25
1896,42.76,45.19,45.33,47.4,52.43,60.75,69.49,65.75,59.14,53.24,38.4,"43.36""",43.36
1897,39.91,43.35,41.85,53.57,60.2,61.45,64.36,69.06,59.22,52.4,45.01,"43.10""",43.10
1898,39.74,45.95,43.93,51.75,55.43,61.69,66.3,66.46,60.88,51.45,44.04,"38.58""",38.58
1899,42.8,39.54,43.59,48.11,51.47,58.24,64.97,60.76,61.87,50.46,50.32,"41.63""",41.63
1900,42.3,41.67,50.43,50.99,55.81,61.53,65.27,61.64,58.31,49.83,45.72,"43.69""",43.69
1901,38.5,41.79,45.48,48.65,55.71,57.19,61.92,67.17,57.66,57.35,46.91,"40.14""",40.14
1902,37.72,45.1,44.43,48.51,54.91,59.75,63.37,64.93,59.49,53.4,43.9,"39.67""",39.67
1903,41.1,38.51,44.24,47.79,55.02,61.55,62.09,63.48,59.62,52.74,44.59,"39.75""",39.75
1904,40.3,39.93,42.55,53.08,55.9,61.11,65.19,66.25,61.3,54.06,48.64,"41.85""",41.85
1905,39.63,41.73,49.92,53.28,54.36,59.72,67.67,64.88,60.85,50.04,42.28,"39.42""",39.42
1906,42.41,43.75,44.26,53.93,56.11,58.63,70.55,67.21,60.42,53.44,45.34,"42.41""",42.41
1907,35.34,45.74,44.11,51.58,57.46,60.73,66.6,63.96,60.76,56.19,47.21,"43.07""",43.07
1908,41.68,42.18,45.78,51.68,52.07,59.68,67.1,64.02,58.85,51.04,47.86,"38.25""",38.25
1909,34.31,42.89,45.82,49.25,52.73,60.76,62.19,63.17,61.3,53.19,45.81,"35.14""",35.14
1910,37.27,37.98,49.92,51.46,57.28,57.61,65.81,62.56,58.33,54.24,44.68,"41.67""",41.67
1911,37.1,39.03,47.75,46.35,51.87,57.25,67.76,65.32,56.56,51.31,44.34,"39.62""",39.62
1912,41.38,44.31,44.31,48.2,56.48,60.96,65.04,63.91,59.64,48.67,45.41,"39.81""",39.81
1913,37.89,39.15,43.71,49.59,55.35,60.75,65.55,66.96,60.07,51.08,45.26,"39.61""",39.61
1914,43.79,41.97,49.62,52.11,58.15,58.98,67.12,65.61,57.95,54.68,45.1,"35.16""",35.16
1915,37.9,43.06,50.2,54.09,55.04,61.28,65.76,68.68,60.63,53.14,44.43,"41.05""",41.05
1916,31.15,44.87,45.28,51.17,52.68,59.94,62.46,66.07,60.67,50.42,41.63,"37.46""",37.46
1917,38.07,40.01,40.85,47.33,53.03,59.94,68.14,68.27,61.32,53.98,46.71,"46.50""",46.50
1918,44.17,41.11,45.46,50.77,53.41,64.74,64.63,64.97,64.99,53.82,43.39,"39.70""",39.70
1919,38.84,40.96,45.89,50.58,54.45,57.91,66.44,65.74,59.69,48.89,44.22,"33.60""",33.60
1920,39.56,40.75,44.08,47.6,53.29,60.36,65.71,67.29,59.49,50.87,44.7,"42.43""",42.43
1921,39.88,44.97,46.75,49.08,55.42,62.44,64.7,65.63,58.85,54.81,47.49,"38.41""",38.41
1922,36.12,39.2,42.85,47.53,56.27,64.67,67.41,65.03,62.53,53.38,41.18,"38.26""",38.26
1923,41.43,37.66,45.03,51.62,55.72,60.93,66.51,68.54,62.42,53.7,47.46,"40.34""",40.34
1924,37.62,46.76,45.16,51.95,59.49,62.9,66.52,65.09,59.95,52.61,43.32,"34.00""",34.00
1925,43.81,45.77,46.85,52.88,59.26,62.35,68.63,64.81,61.05,53.51,44.99,"43.78""",43.78
1926,40.8,47.1,51.65,57.89,57.17,65.55,68.11,65.99,59.22,55.2,48.3,"40.55""",40.55
1927,39.47,43.87,45.66,49.95,53.92,62.27,66.64,66.98,59.89,53.6,48.36,"37.56""",37.56
1928,40.18,42.93,49.78,50.04,59.76,61,67.47,65.8,60.04,52.42,44.78,"38.61""",38.61
1929,34.27,36.12,46.84,47.8,56.33,60.3,66.24,66.61,62.17,55.72,42.77,"43.60""",43.60
1930,28.64,45.73,49.11,53.9,53.66,59.66,65.08,67.21,61.48,52.13,44.12,"39.34""",39.34
1931,42.96,43.58,47.95,54.02,61.03,61.57,68.75,67.38,61.29,54.07,43.47,"39.59""",39.59
1932,39.41,41.42,47.66,51.22,56.09,64.26,63.9,66.13,62.79,55.53,47.85,"37.08""",37.08
1933,38.98,38.3,45.84,50.84,51.96,60.39,66.62,67.95,58.08,54.73,44.7,"46.26""",46.26
1934,45.59,47.42,53.87,57.08,59.18,62.68,65.05,67.61,61.37,56.2,49.01,"42.61""",42.61
1935,39.18,43.9,42.82,51.19,56.08,63.32,66.19,67.24,64.99,51.53,41.59,"39.58""",39.58
1936,42.68,36.38,45.06,54.22,59.27,63.3,66.57,67.54,62.19,56.02,42.3,"42.16""",42.16
1937,30.7,40.31,47.91,48.54,56.73,63.01,67.21,65.2,61.68,55.99,48.59,"42.57""",42.57
1938,40.06,42.23,45.65,52.23,57.94,64.06,69.78,64.57,65.47,54.39,42.64,"41.94""",41.94
1939,42.04,40.44,48.13,54.35,58.41,60.33,68.04,67.96,63.56,54.84,47.69,"45.39""",45.39
1940,40.97,45.82,50.35,53.47,60.08,65.4,66.79,68.57,63.9,56.36,43.72,"42.86""",42.86
1941,42.51,46.42,52.07,53.56,57.18,61.41,70.87,66.54,59.64,53.22,46.79,"42.43""",42.43
1942,36.36,42.76,45.86,51.88,55.35,59.64,68.76,68.96,63.2,54.37,45.59,"43.39""",43.39
1943,34.61,44.24,45.53,53.27,54.69,60.07,66.33,64.71,64.54,53.89,45.13,"39.18""",39.18
