year,precip_sept_may,precip_normals_sept_may,temp_sept_may,temp_normals_sept_may,growth_index,temp_apr_oct,temp_normals_apr_oct,Groups,pdsi_apr_oct,temp_nov_apr,temp_normals_nov_apr,precip_nov_apr,precip_normals_nov_apr,spi_nov_apr
1896,24.76,99.73,50.7,-2.41,1.23,61.05,-2.78,1,2.25,47.01,-1.5,22.83,101.71,0.33
1897,25.83,104.01,51.27,-1.84,0.864,62.55,-1.28,1,0.81,46.22,-2.29,24.21,107.85,0.51
1898,13.7,55.18,50.19,-2.92,0.551,62.5,-1.34,1,-0.55,46.33,-2.18,9.45,42.09,-1.78
1899,19.92,80.23,50.93,-2.18,1.108,60.82,-3.02,1,2.66,46.72,-1.79,16.69,74.36,-0.6
1900,23.39,94.18,52.53,-0.58,1.379,60.81,-3.03,1,1.17,48.81,0.3,17.99,80.14,-0.4
1901,25.43,102.43,50.92,-2.19,1.276,60.97,-2.87,1,1.74,47.71,-0.8,22.36,99.61,0.26
1902,24.92,100.36,51.38,-1.73,1.198,61.44,-2.39,1,1.76,47.62,-0.89,21.73,96.8,0.17
1903,23.15,93.23,50.71,-2.39,1.069,62.35,-1.49,1,-1.55,45.61,-2.9,20.94,93.3,0.06
1904,30.16,121.45,52.85,-0.26,1.166,63.45,-0.39,1,5.09,47.68,-0.83,29.49,131.35,1.12
1905,28.07,113.05,52.76,-0.35,1.085,62.15,-1.68,1,2.05,48.88,0.37,18.66,83.12,-0.29
1906,26.57,107.02,52.08,-1.03,1.034,63.03,-0.81,1,2.55,48.13,-0.38,23.94,106.62,0.48
1907,30.91,124.46,52.82,-0.29,1.07,61.59,-2.25,1,1.91,48.42,-0.09,30.63,136.44,1.23
1908,17.52,70.56,52.2,-0.91,0.956,62.49,-1.35,1,-1.67,48.96,0.45,15.16,67.52,-0.86
1909,31.38,126.37,51.74,-1.36,0.803,62.09,-1.75,1,-0.78,47.56,-0.95,30.35,135.21,1.21
1910,22.56,90.85,51.91,-1.2,0.914,62.63,-1.2,1,-1.89,47.13,-1.38,20.35,90.66,-0.03
1911,29.84,120.18,51.15,-1.96,0.996,60.3,-3.54,1,0.94,47.08,-1.44,28.62,127.49,1.03
1912,14.76,59.46,50.86,-2.24,0.882,61.15,-2.69,1,2.81,46.88,-1.63,12.48,55.59,-1.3
1913,15.35,61.84,51.11,-1.99,1.079,63.87,0.03,1,-2.18,46.53,-1.98,12.20,54.36,-1.34
1914,31.69,127.64,53.24,0.13,1.047,61.32,-2.51,1,0.81,48.54,0.03,31.02,138.19,1.27
1915,31.38,126.37,51.51,-1.59,1.491,62.24,-1.6,1,2.13,47.88,-0.63,26.02,115.92,0.74
1916,27.8,111.94,52.63,-0.47,0.825,61.7,-2.14,1,0.14,48.44,-0.07,27.68,123.28,0.93
1917,19.13,77.06,49.6,-3.51,0.815,62.37,-1.47,1,-1.7,45.38,-3.14,17.09,76.11,-0.54
1918,13.58,54.7,52.94,-0.16,0.494,63.14,-0.69,1,3.56,48.89,0.38,13.39,59.62,-1.14
1919,27.52,110.83,51.54,-1.57,0.709,61.98,-1.85,1,-1.56,46.6,-1.91,22.56,100.49,0.29
1920,13.74,55.34,51.07,-2.03,0.649,61.61,-2.23,1,-0.9,46.71,-1.8,12.83,57.17,-1.24
1921,25.39,102.27,50.86,-2.25,0.826,62.22,-1.61,1,-1.4,47.4,-1.11,22.01,98.03,0.21
1922,23.23,93.55,50.15,-2.96,0.641,62.6,-1.23,1,0.65,44.61,-3.9,21.77,96.98,0.18
1923,23.5,94.66,50.89,-2.22,0.818,61.54,-2.29,1,0.89,45.71,-2.8,21.22,94.52,0.1
1924,10.43,42.02,53.27,0.16,0.473,61.88,-1.96,1,-2.27,48.75,0.24,8.98,39.98,-1.86
1925,27.48,110.67,50.81,-2.3,1.086,61.67,-2.17,1,2.32,46.58,-1.93,21.73,96.8,0.17
1926,20.83,83.88,52.3,-0.81,1.071,63.76,-0.08,1,0.65,48.6,0.09,19.76,88.03,-0.12
1927,28.46,114.63,52.31,-0.79,0.802,62,-1.84,1,1.02,48.23,-0.28,25.87,115.22,0.72
1928,20.83,83.88,52.44,-0.67,0.924,62.74,-1.1,1,-1.3,48.05,-0.46,19.06,84.88,-0.23
1929,14.25,57.4,50.67,-2.44,0.56,63.08,-0.76,1,-1.04,45.54,-2.97,14.21,63.31,-1.01
