year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1896,10.98,0.47,2.83,4.53,0.87,0,0,0.71,0.39,1.1,5.51,3.98
1897,3.35,6.02,4.96,0.35,0.16,0.24,0,0,0.16,2.44,1.65,2.01
1898,1.38,3.62,0.51,0.24,1.65,0.28,0,0,1.02,1.26,1.14,1.54
1899,4.96,0.51,7.91,0.59,0.94,0.35,0,0,0,4.41,5.39,3.31
1900,4.25,1.06,2.48,1.5,0.98,0,0,0,0.08,1.97,5.43,1.89
1901,5.79,6.1,0.83,2.36,1.06,0,0,0,1.02,1.1,3.35,1.34
1902,1.81,9.96,3.58,1.69,1.06,0,0,0,0,2.2,3.78,2.76
1903,4.84,2.05,6.61,0.91,0,0,0,0,0,0.43,6.34,1.54
1904,1.46,9.96,8.31,1.85,0.2,0,0.12,0.2,3.54,3.11,1.93,2.28
1905,4.84,3.86,4.53,1.22,2.76,0,0,0,0,0,1.73,1.77
1906,7.2,4.84,7.36,1.02,2.64,0.67,0,0,0.16,0,1.85,7.64
1907,5.79,4.61,10.35,0.39,0.12,0.98,0,0,0.16,1.38,0.12,4.72
1908,4.65,3.78,1.42,0.43,0.83,0,0,0,0.12,0.91,1.89,2.24
1909,14.29,8.43,3.54,0,0,0,0,0,0.83,1.3,3.03,6.5
1910,4.49,2.17,3.7,0.43,0.08,0,0,0,0.16,0.67,0.87,1.69
1911,15.63,3.58,5.43,1.42,0.39,0.04,0,0,0,0.63,0.79,2.4
1912,3.23,0.63,3.46,1.97,1.65,0.71,0,0,1.73,0.71,2.91,1.61
1913,4.57,0.47,1.93,0.75,0.71,0.08,0.31,0,0,0,5.59,5
1914,13.39,4.8,1.02,1.22,0.67,0.43,0,0,0,1.06,0.59,6.18
1915,6.77,9.33,2.2,0.98,4.29,0,0,0,0,0,1.14,6.73
1916,14.72,3.35,1.65,0.08,0.16,0,0.43,0.35,0.59,1.18,1.57,5.39
1917,1.97,6.22,1.22,0.71,0.28,0,0,0,0.16,0,0.79,1.38
1918,1.06,5.59,3.9,0.71,0,0,0,0,4.65,0.31,4.02,2.09
1919,2.28,10.71,3.27,0.16,0,0,0,0,0.59,0.35,0.28,4.06
1920,0.71,1.06,4.76,1.97,0,0.2,0,0,0.12,2.32,4.25,6.46
1921,7.36,1.65,1.81,0.47,0.94,0,0,0,0.2,0.47,1.61,7.05
1922,2.56,7.01,2.8,0.75,0.83,0.12,0,0,0,2.2,4.33,8.66
1923,3.46,0.87,0.16,3.74,0.08,0.28,0,0,0.98,0.47,0.39,1.54
1924,2.76,2.48,1.54,0.24,0.04,0,0,0,0,2.83,2.36,4.53
1925,1.42,9.09,1.81,2.48,2.91,0.12,0.08,0,0.59,0.24,1.81,1.54
1926,4.41,7.28,0.16,4.53,0.24,0,0,0,0,2.32,8.43,1.18
1927,3.7,8.15,1.89,2.52,0.28,0.39,0,0,0,1.42,4.17,3.5
1928,2.4,2.17,5.31,1.5,0.35,0,0,0,0,0.04,3.66,4.41
1929,1.18,2.01,1.65,1.3,0,1.38,0,0,0,0.04,0,4.02
1930,5.31,3.5,3.19,1.22,0.39,0,0,0,0.31,0.75,1.93,0.31
1931,5.28,1.54,1.54,0.47,1.3,0.59,0,0,0,0.98,2.91,10.28
1932,2.83,3.78,0.83,0.71,0.75,0,0,0,0,0,0.55,3.35
1933,6.22,1.1,3.03,0.24,1.3,0,0,0,0.12,1.77,0.28,5.55
1934,1.77,4.84,0.04,0.39,0.79,0.79,0,0,0.39,0.83,4.8,3.31
1935,6.22,1.06,4.76,4.29,0.08,0,0.28,0.24,0,1.1,0.98,2.32
1936,5.91,10.71,1.06,1.77,0.75,0.51,0.28,0,0,0.35,0.39,3.46
1937,4.76,6.97,6.97,1.1,0.04,0.47,0,0,0,0.94,3.7,5.87
1938,2.87,11.77,6.57,1.5,0.28,0,0,0,0.16,1.18,1.38,1.77
1939,2.95,2.52,2.87,0.39,0.79,0,0,0,0.43,0.75,0.39,1.26
1940,11.06,9.88,5.04,1.14,0.67,0.04,0,0,0.35,1.22,1.61,8.62
1941,7.52,7.2,4.13,4.84,1.5,0.08,0,0,0,1.02,2.05,8.31
1942,6.34,4.53,2.6,4.33,2.2,0,0,0,0.12,1.1,5.43,3.19
1943,8.15,2.17,3.27,1.73,0,0.12,0,0,0,0.67,1.02,2.24
1944,3.9,6.22,1.81,1.89,0.79,0.28,0,0,0,1.1,6.81,3.54
1945,0.63,5.87,4.29,0.35,1.06,0,0,0,0,2.36,3.9,8.43
1946,1.5,2.24,2.09,0.28,0.79,0,0.04,0,0.04,0.16,3.66,2.68
1947,0.87,2.2,3.86,0.43,0.35,0.59,0,0,0,3.98,1.22,1.14
1948,1.3,1.97,3.78,3.31,1.22,0.12,0,0,0,0.47,1.06,4.29
1949,1.93,3.35,5.24,0,0.59,0,0.04,0.12,0,0.12,1.97,2.24
1950,8.19,3.03,2.68,1.42,0.55,0,0,0,0.08,2.76,7.68,6.97
1951,4.53,2.28,2.17,0.91,0.63,0,0,0.16,0,1.42,4.09,8.9
1952,10.28,2.91,4.65,1.69,0.28,0.43,0,0,0,0,3.43,9.17
1953,4.29,0,2.36,2.24,0.87,0.43,0,0.24,0,0.55,2.32,0.91
1954,4.61,4.13,3.7,1.73,0.2,0.47,0,0.08,0,0,2.87,5.35
1955,4.21,1.77,0.39,2.01,0.59,0,0,0,0.08,0.08,2.13,14.92
1956,9.02,3.15,0.12,1.97,0.94,0,0,0,0.43,2.05,0.12,0.67
1957,3.58,4.96,2.68,1.61,3.58,0.04,0,0,0.59,2.68,0.87,4.37
1958,6.54,10.67,7.24,6.1,0.71,0.28,0,0,0.08,0.2,0.31,1.42
1959,5.51,5.35,0.55,0.35,0.04,0,0,0,3.03,0,0,1.97
1960,5.43,5.94,2.52,1.18,0.87,0,0,0,0,0.47,4.76,1.18
1961,3.11,1.3,3.46,1.18,0.87,0.12,0,0.28,0.31,0.28,3.43,2.64
1962,1.81,9.92,2.52,0.47,0,0,0,0,0,9.45,0.75,2.4
1963,3.82,7.13,3.86,4.84,0.79,0,0,0,0.2,1.77,4.84,0.51
1964,5.28,0.08,1.93,0.28,0.55,0.83,0,0.12,0,1.46,4.21,8.78
1965,4.88,0.94,2.09,3.98,0,0,0,0.12,0,0.08,5.47,4.06
1966,2.83,2.56,0.59,0.67,0.28,0.04,0.24,0.08,0.16,0,5.59,4.09
1967,11.93,0.43,5.2,5.63,0.24,0.98,0,0,0.04,0.59,1.3,3.7
1968,6.18,2.8,3.39,0.43,0.39,0,0,0.2,0,0.51,3.31,4.41
1969,10.83,8.31,1.89,2.01,0.04,0.12,0,0,0,2.09,0.91,7.32
1970,10.87,2.05,1.85,0.28,0.04,0.51,0,0,0,0.79,7.72,7.8
1971,1.81,0.43,3.15,1.26,0.47,0,0,0,0.31,0.16,1.97,4.88
1972,1.38,2.68,0.24,1.5,0,0.08,0,0,0.83,3.5,7.2,3.15
1973,10.43,7.17,3.5,0.24,0,0,0,0,0.28,1.77,7.68,5.39
1974,3.86,1.26,6.1,2.95,0,0.04,0.59,0,0,0.98,1.3,2.48
1975,1.3,7.17,6.61,2.32,0,0.04,0.24,0.16,0,3.35,1.06,0.55
1976,0.35,1.42,2.09,1.42,0,0.08,0,1.14,1.14,0.43,0.87,1.42
1977,1.97,1.73,2.2,0.35,1.3,0,0,0,1.02,0.28,3.58,6.38
1978,10.39,4.76,5.75,3.74,0.12,0,0,0,0.79,0,2.91,0.94
1979,7.28,4.49,3.23,1.54,0.2,0,0.04,0,0,3.07,2.44,5.63
1980,8.35,9.17,2.36,1.73,0.39,0.04,0.43,0,0,0.12,0.28,2.48
1981,5.28,1.14,4.92,0.47,0.28,0,0,0,0.12,2.76,7.91,6.06
1982,9.21,5.28,5.98,8.23,0,0.12,0.04,0,1.18,2.72,6.34,6.38
1983,7.36,8.82,10.79,3.78,0.83,0,0,0.35,0.39,1.1,9.53,8.07
1984,0.47,2.95,1.97,0.98,0.12,0.24,0,0.12,0.12,2.28,7.6,1.69
1985,0.94,2.68,4.09,0.24,0.12,0.31,0,0.08,0.83,0.91,3.86,2.99
1986,4.69,13.94,6.42,0.87,0.43,0,0.08,0,2.05,0.2,0.39,1.02
1987,2.87,5.67,3.98,0.12,0.35,0,0,0,0,1.57,2.2,6.1
1988,4.37,0.39,0.75,2.44,0.91,0.31,0,0,0,0.47,3.43,2.95
1989,1.34,1.3,5.12,0.55,0.12,0.16,0,0.04,1.18,2.28,1.81,0
1990,3.43,2.83,0.83,0.31,2.68,0.12,0,0.04,0.12,0.08,0.83,1.22
1991,0.35,2.64,8.23,0.43,0.28,0.12,0,0.12,0,2.95,0.75,2.28
1992,1.38,7.24,2.91,0.59,0,0.31,0.12,0,0,1.93,0.35,8.39
1993,11.77,5.04,2.28,1.3,0.91,0.55,0,0,0.04,0.55,2.36,4.06
1994,1.65,4.96,0.28,1.85,1.57,0.04,0,0,0.04,0.75,7.4,2.87
1995,12.91,0.39,8.7,1.46,1.93,0.91,0,0,0,0,0.12,8.46
1996,7.2,7.64,2.95,2.13,2.17,0,0,0,0,1.34,4.76,8.19
