year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1896,47.44,49.05,47.75,44.18,52.48,65.3,72.56,68.03,64.47,60.36,47.6,48.78
1897,43.31,42.32,41.55,53.75,59.28,62.45,71.15,69.73,65.79,55.72,48.72,44.02
1898,39.76,46.72,45.41,53.32,52.2,63.57,71,70.64,68.86,57.88,49.7,44.17
1899,45.98,45.11,45.12,50.22,51.3,64.86,70.65,65.97,67.81,54.9,51.01,45.78
1900,47.82,46.73,52.85,48.68,57.2,64.5,71.03,65.86,62.78,55.62,52.14,47.5
1901,44.29,44.73,50.02,47.56,53.6,62.61,69.5,69.83,63.03,60.64,53.38,48.66
1902,44.38,45.83,45.22,48.28,53,64.25,70.52,68.67,68.21,57.17,47.56,45.64
1903,45.18,40.47,46.62,48.17,57.41,64.94,67.03,69.12,67.27,62.51,52.07,47.51
1904,45.1,44.2,47,50.22,59.73,66.31,69.55,70,69.3,59.05,51.76,44.94
1905,47.08,46.67,50.83,52.01,53.2,62.38,71.52,70.04,67.4,58.52,50.15,43.78
1906,48.33,49.42,46.75,50.34,54,62.31,74.63,71.19,67.6,61.12,50.16,47.07
1907,44.59,50.11,45.91,52.68,56.12,61.82,69.05,69.09,63.16,59.2,54.06,47.1
1908,46.47,43.83,49.3,53,53.71,61.65,74.33,69.7,67.57,57.48,51.42,43.02
1909,48.87,44.95,45.63,51.49,55.29,62.83,70.13,69.76,67.4,57.73,50.02,43.64
1910,42.06,43.47,50.76,52.83,59.29,61.56,70.7,69.27,64.75,60.05,50.12,47.07
1911,45.97,41.47,49.23,48.61,53.11,61.79,70.67,66.8,63.44,57.66,50.16,44.1
1912,47.38,47.38,45.63,46.6,55.41,64.09,69.84,68.83,67.02,56.25,50.25,44.49
1913,42.28,45.13,46.67,50.37,57.58,61.96,71.62,73.69,70.46,61.42,50.02,44.83
1914,47.44,44.94,52.1,51.92,56,60.97,68.56,68.85,64.62,58.35,52.42,42.94
1915,45.14,45.36,51.28,50.14,53.39,61.18,70.95,72.49,66.89,60.64,49.64,46.54
1916,42.8,49.32,50.49,51.84,55.54,62.69,71.01,69.04,67.2,54.57,47.75,42.73
1917,42.24,45.43,44.38,49.73,52.38,63.98,72,69.41,66.74,62.36,53.01,49.07
1918,46.84,44.51,48.36,51.55,54.04,69.27,70.08,70.54,65.92,60.59,49.3,43.82
1919,45.28,43.57,45.35,52.29,57.78,63.41,69.58,68.97,66.48,55.38,48.61,44.05
1920,47.02,45.18,45.55,49.86,57.52,63.81,69.11,71.12,64.7,55.11,49.1,44.85
1921,44.64,46.24,50.4,49.16,53.5,65.38,72.29,68.52,66.89,59.8,51.5,45.87
1922,39.34,41.04,42.35,47.53,57.01,64.09,72.23,69.05,70.93,57.37,46.74,44.19
1923,41.62,42.97,49.68,49.06,55.42,58.82,70.13,69.66,69.14,58.57,54.33,44.71
1924,44.03,49.67,47.79,51.98,59.19,63.9,68.11,68.32,66.79,54.84,48.94,41.31
1925,45.16,46.68,48,49.41,56.11,65.25,72.11,67.72,62.94,58.14,49.63,46.01
1926,42.61,46.83,52.36,54.13,58.01,66.24,73.38,69.49,64.78,60.28,55.32,44.48
1927,46.06,46.45,46.99,50.07,56.38,63.51,71.31,68.12,65.12,59.49,51.31,44.51
1928,45.06,46.41,50.76,50.27,59.05,65.43,69.58,69.39,67.6,57.82,49.45,43.32
1929,43,43.15,47.18,47.14,57.33,64.99,71.38,71.48,67.5,61.72,51.39,48.72
1930,43.47,48.68,49.52,51.8,53.03,64.64,70.14,69.57,64.14,59.68,51.3,44.62
1931,46.08,47.65,50.31,54.37,61.83,63.31,76.21,72.16,65.97,58.27,47.64,43.07
1932,43.42,44.13,50.66,49.46,56.99,64.73,71.42,69.79,70.22,59.78,55.6,41.58
1933,41.89,43.1,49.06,50.88,52.92,62.64,73.63,70.66,66.25,63.54,52.61,45.7
1934,47.53,48.5,55.64,55.5,60.42,63.59,72.01,70.26,68.49,59.55,52.2,46.92
1935,45.12,45.21,44.28,49.9,55.64,66.16,70.44,70.39,66.31,57.51,47.54,46.11
1936,48.15,45.1,50.09,51.38,58.96,65.11,73.44,71.69,69.93,61.34,49.2,44.39
1937,37.82,42.64,48.42,48.92,57.81,64.63,72.96,71.38,67.82,61.05,52.21,47.42
1938,45.33,45.25,46.09,48.98,57.25,64.26,71.48,69.57,68.61,58.03,49.33,47.31
1939,45.73,42.73,46.47,53.54,57.77,64.61,71.77,70.11,70.21,59.43,51.96,48.63
1940,47.26,47.95,50.14,51.31,57.75,66.01,70.54,69.23,66.6,59.69,49.72,49.06
1941,48.15,45.06,50.44,48.25,57.13,63.08,72.54,69.31,67.48,58.18,50.94,47.99
1942,45.12,44.26,47.23,47.28,53.47,63.36,72.12,69.86,66.47,60.68,49.58,45.24
1943,44.91,45.95,48.31,49.87,58.09,61.31,70.84,69.18,69.8,58.69,50.86,46.94
1944,45.13,43.35,49,47.07,57.08,61.36,69,69.61,69.28,59.72,47.78,46.25
1945,43.03,45.16,43.72,51.06,54,65.39,72.98,69.01,68.68,60.12,49.27,45.04
1946,43.76,41.13,45.9,49.78,55.36,62.55,71.26,68.67,67.24,56.79,47.65,43.68
1947,40.38,45.37,48.98,52.52,59.08,65.49,70.46,69.17,69.72,58.24,46.88,43.72
1948,46.91,42.36,44.36,46.64,53.4,62.73,70.57,69.27,67.13,58.69,49.23,40.55
1949,37.44,40.08,46.69,51.67,56.34,65.35,70.44,68.5,68.38,56.9,53.62,42.67
1950,40.74,43.92,46.14,51.76,55.31,61.74,72.03,71.93,68.88,59.68,54.23,47.97
1951,44.15,43.93,46.74,48.5,56.61,61.88,69.31,69.05,67.77,58.71,50.18,43.92
1952,41.74,44.15,44.77,52.26,59.74,58.06,74.18,71.77,71.48,64.77,50.58,44.65
1953,49.01,48.35,46.76,50.75,51.89,59.31,76.05,66.59,69.31,61.05,52.37,50.22
1954,44.66,47.47,44.69,55.35,59.62,62.78,75.68,65.57,66.09,59.68,53.5,45.44
1955,42.31,45.33,48.41,46.3,56.83,61.6,66.96,71.52,68.5,62.21,51.07,46.32
1956,45.12,42.7,47.58,51.09,56.87,64.71,71.79,68.56,69.31,58.29,52.25,45.91
1957,42.65,47.39,48.51,52.94,54.63,69.52,73.81,69.98,68.82,57.18,50.58,48.07
1958,47.52,48.69,44.07,52.92,60.29,63.14,70.87,77.37,71.82,64.02,54.7,50.98
1959,48.84,44.32,53.06,55.49,56.89,67.91,77.92,72.97,66.81,64.31,50.03,46.27
1960,43.69,46.23,50.99,52.41,55.41,71.45,77.51,73.09,70.84,59.12,49.42,46.41
1961,43,47.48,45.85,53.86,53.79,69.73,77.59,72.19,67.2,60.16,51.17,45.76
1962,46.07,44.77,45,55.83,54.56,65.49,72.46,71.2,67.41,58.67,54.38,46.58
1963,43.64,53.23,47.08,45.71,54.96,63.37,69.99,72.11,70.21,60.04,50.77,42.4
1964,45.27,47.97,47.66,52.29,54.81,62.52,73.37,73.05,67.15,65.97,48.17,46.98
