Date/Time,big kahuna,mud,wet foot,little kahuna,vodka,david,SNOTEL,mystery
3/12/18 0:46,2.1,1.1,1.6,0.6,3.1,4.1,3.9,14.7
3/12/18 1:46,2.1,1.1,1.6,0.6,2.6,3.1,3.9,14.7
3/12/18 2:46,2.1,0.6,1.6,0.1,2.6,3.1,2.8,14.2
3/12/18 3:46,2.1,1.1,1.6,0.1,3.1,3.6,1.7,14.2
3/12/18 4:46,1.6,0.6,1.6,0.1,2.6,3.6,1.1,13.7
3/12/18 5:46,1.6,0.6,1.6,-0.4,2.1,3.1,1.1,13.7
3/12/18 6:46,1.1,0.6,1.6,-0.4,2.1,2.6,1.7,13.7
3/12/18 7:46,2.1,0.6,2.6,0.1,2.6,3.1,2.2,13.2
3/12/18 8:46,4.1,1.1,2.6,1.1,4.6,3.6,3.9,14.7
3/12/18 9:46,6.1,2.6,4.1,2.6,4.6,4.1,6.1,20.2
3/12/18 10:46,7.6,3.1,5.7,3.6,5.1,4.1,7.8,28.7
3/12/18 11:46,9.2,3.7,5.7,5.1,7.1,5.6,10.0,34.2
3/12/18 12:46,10.7,4.2,6.7,4.6,8.6,6.1,13.3,37.2
3/12/18 13:46,10.7,4.2,8.2,5.7,10.1,6.6,13.9,33.2
3/12/18 14:46,10.7,3.7,7.2,6.2,9.1,6.6,10.0,33.2
3/12/18 15:46,8.1,3.1,6.7,5.1,9.1,6.1,8.3,33.2
3/12/18 16:46,6.6,2.6,5.7,3.1,7.6,5.6,6.7,29.7
3/12/18 17:46,5.6,2.1,4.6,2.1,7.1,5.1,6.1,24.2
3/12/18 18:46,5.1,1.6,3.6,1.6,6.1,4.6,6.1,22.2
3/12/18 19:46,4.6,1.6,3.6,1.6,5.6,4.6,5.6,20.7
3/12/18 20:46,4.6,1.6,6.2,1.6,5.1,4.6,5.6,19.2
3/12/18 21:46,4.6,1.6,6.7,1.1,5.6,4.6,5.6,18.2
3/12/18 22:46,4.6,1.6,4.1,1.1,6.6,4.1,3.9,17.7
3/12/18 23:46,4.6,1.6,5.7,1.1,6.1,5.6,3.3,17.2
3/13/18 0:46,3.6,1.6,5.1,1.1,5.1,5.1,3.3,16.2
3/13/18 1:46,4.1,1.6,4.6,1.1,4.6,5.1,2.8,15.7
3/13/18 2:46,3.6,1.6,4.1,1.1,4.6,4.6,2.8,15.2
3/13/18 3:46,3.6,1.6,4.1,1.1,4.6,4.6,2.8,15.2
3/13/18 4:46,3.6,1.1,3.6,1.1,4.6,4.6,2.8,14.7
3/13/18 5:46,3.1,1.1,3.6,0.6,4.1,4.6,2.2,14.2
3/13/18 6:46,3.1,1.1,3.6,1.1,4.1,4.6,2.8,14.2
3/13/18 7:46,3.6,1.6,3.1,1.1,4.6,4.6,3.9,14.2
3/13/18 8:46,4.1,1.6,2.6,1.6,5.6,5.1,5.0,13.7
3/13/18 9:46,7.1,2.6,4.6,3.1,7.6,6.1,7.8,19.7
3/13/18 10:46,10.2,4.7,7.2,4.1,8.1,7.1,9.4,26.2
3/13/18 11:46,11.2,4.7,7.7,7.2,9.6,8.1,8.9,30.2
3/13/18 12:46,12.2,5.2,9.2,6.7,9.6,8.1,12.8,32.2
3/13/18 13:46,9.2,5.2,9.2,5.1,10.1,9.1,12.8,30.7
3/13/18 14:46,10.7,4.2,9.2,5.1,11.1,9.6,10.0,31.7
3/13/18 15:46,10.2,4.2,9.7,5.7,11.1,9.6,8.3,30.7
3/13/18 16:46,7.6,3.7,9.2,4.1,10.6,9.6,7.2,28.2
3/13/18 17:46,7.1,3.1,9.7,3.1,10.1,9.1,7.8,23.7
3/13/18 18:46,7.1,2.6,8.2,2.6,9.6,7.6,6.7,20.7
3/13/18 19:46,7.1,3.1,6.2,2.6,10.1,9.6,7.2,19.7
3/13/18 20:46,7.1,2.6,6.2,2.6,9.6,7.6,8.3,18.7
3/13/18 21:46,6.1,2.6,6.2,2.6,7.6,8.6,7.2,17.7
3/13/18 22:46,7.6,3.1,5.1,3.6,6.1,7.6,6.1,17.2
3/13/18 23:46,6.6,2.6,3.6,4.6,5.6,5.6,4.4,16.7
3/14/18 0:46,4.6,2.1,3.6,2.1,4.6,4.6,3.9,16.2
3/14/18 1:46,5.1,3.7,2.1,4.1,5.1,4.1,3.3,15.7
3/14/18 2:46,5.1,2.1,2.1,3.1,4.6,4.1,2.8,15.2
3/14/18 3:46,5.1,4.2,2.1,4.6,4.1,3.6,3.3,15.2
3/14/18 4:46,4.6,1.6,2.1,2.6,4.1,4.1,2.8,14.7
3/14/18 5:46,4.6,2.1,2.1,3.1,4.6,4.1,1.1,14.7
3/14/18 6:46,2.6,1.6,1.1,2.1,3.1,2.6,0.6,14.2
3/14/18 7:46,2.1,1.6,0.6,1.6,2.1,2.1,1.1,14.2
3/14/18 8:46,2.6,1.6,0.6,1.6,2.1,2.1,0.6,12.7
3/14/18 9:46,2.1,1.6,0.6,1.6,2.1,1.6,0.6,11.2
3/14/18 10:46,2.1,1.6,0.6,1.6,1.6,1.6,1.1,10.7
3/14/18 11:46,2.1,1.6,0.6,1.6,1.6,1.6,1.1,10.7
3/14/18 12:46,2.6,1.6,1.1,1.6,2.1,2.1,1.1,10.7
3/14/18 13:46,3.1,2.1,2.1,2.1,2.6,2.1,1.1,11.2
3/14/18 14:46,2.6,1.6,1.1,2.1,2.1,2.1,1.7,11.7
3/14/18 15:46,3.1,2.1,1.1,2.1,2.1,2.1,1.7,11.7
3/14/18 16:46,3.1,1.6,1.1,2.1,2.6,2.1,1.7,13.2
3/14/18 17:46,2.6,1.6,1.1,1.1,2.1,2.1,1.1,11.7
3/14/18 18:46,2.1,1.1,0.6,1.6,2.1,2.1,1.1,10.7
3/14/18 19:46,1.6,1.1,0.6,0.6,1.6,1.6,1.1,9.1
3/14/18 20:46,1.1,1.1,0.1,0.6,1.1,1.6,1.1,7.6
3/14/18 21:46,1.6,1.1,0.6,0.6,2.1,2.1,0.6,6.6
3/14/18 22:46,1.6,1.1,0.1,1.1,1.6,1.6,0.0,6.1
3/14/18 23:46,1.1,1.1,-0.4,0.6,1.1,1.1,-0.6,5.6
