,big kahuna,mud,wet foot,little kahuna,vodka,david,SNOTEL,mystery
12-Mar,10.657,4.154,8.165,6.155,10.126,6.619,13.889,37.162
13-Mar,12.162,5.16,9.672,7.16,11.131,9.637,12.778,32.176
14-Mar,5.133,4.154,3.64,4.646,5.098,4.605,3.8889,16.171
15-Mar,2.117,1.636,0.62,1.627,1.573,1.078,1.1111,13.162
16-Mar,7.143,4.154,5.149,4.646,5.601,4.102,8.3333,42.141
17-Mar,2.62,1.636,0.116,2.13,2.077,2.086,1.1111,10.652
18-Mar,1.111,1.132,-0.387,1.123,1.07,1.078,0.55556,11.154
19-Mar,4.128,2.14,1.627,4.143,2.581,2.59,7.7778,12.66
20-Mar,7.143,3.147,4.143,4.646,5.098,4.102,7.7778,24.684
21-Mar,5.133,2.643,4.143,3.137,6.104,4.605,5.5556,20.18
22-Mar,6.138,3.65,5.149,4.143,6.607,5.612,5,18.176
23-Mar,3.122,1.636,1.627,2.13,2.077,1.582,5,32.675
24-Mar,2.117,0.124,-1.395,2.13,0.062,0.07,2.2222,15.168
25-Mar,3.625,2.643,1.627,3.137,2.077,2.086,4.4444,13.664
26-Mar,3.122,2.643,0.62,2.13,2.077,2.086,1.6667,13.664
27-Mar,5.635,3.65,2.13,5.149,4.091,4.605,3.3333,13.664
28-Mar,6.138,4.154,2.13,4.646,4.595,4.102,5.5556,19.178
29-Mar,6.64,4.657,4.646,5.652,5.601,5.109,6.1111,20.18
30-Mar,7.645,5.16,3.64,6.657,6.607,6.116,5.5556,16.171
31-Mar,7.143,5.16,5.149,5.652,6.104,5.612,7.2222,19.679
1-Apr,4.63,3.147,2.633,3.137,3.588,3.598,2.2222,11.154
2-Apr,0.105,0.124,-2.403,0.116,-0.946,-0.939,-1.1111,12.158
3-Apr,3.625,2.643,1.627,3.137,3.084,2.59,6.6667,17.174
4-Apr,3.122,2.14,1.123,2.633,2.581,2.59,2.7778,9.145
5-Apr,6.138,3.147,4.646,4.646,5.601,4.605,5,11.154
6-Apr,8.147,4.657,6.657,5.652,7.613,7.122,8.3333,26.183
7-Apr,6.138,4.657,4.143,5.652,5.098,4.605,3.8889,13.664
8-Apr,3.625,3.147,1.123,3.64,2.581,2.59,1.6667,14.165
9-Apr,9.653,4.657,5.652,8.165,7.11,5.612,11.111,22.182
10-Apr,8.649,5.16,4.646,7.16,7.613,7.625,7.7778,14.667
11-Apr,9.653,6.167,6.155,8.165,8.116,6.619,8.8889,25.684
12-Apr,5.635,3.147,3.64,3.137,5.098,5.109,1.1111,19.679
13-Apr,3.625,2.14,1.123,3.64,2.581,2.59,2.2222,12.66
14-Apr,6.138,4.657,4.646,5.652,5.601,4.605,6.1111,20.18
15-Apr,7.645,5.664,5.149,6.155,6.607,6.116,6.6667,22.182
16-Apr,5.133,4.154,3.64,4.143,5.098,5.109,3.8889,18.176
17-Apr,4.63,3.147,0.62,4.143,2.581,3.094,2.2222,15.67
18-Apr,9.653,6.167,6.155,9.17,7.613,5.612,10.556,24.684
19-Apr,12.162,10.691,11.179,12.182,10.628,10.139,11.667,27.183
20-Apr,14.67,11.193,11.681,13.688,12.637,12.149,13.889,26.683
21-Apr,10.155,8.681,6.657,9.17,9.121,8.128,10,22.683
22-Apr,9.151,8.178,7.16,9.17,7.613,7.122,8.8889,24.183
23-Apr,13.667,11.193,11.681,12.182,12.637,10.642,12.778,28.682
