year,jan
1980,1361.546
1981,1362.105
1982,1361.566
1983,1361.359
1984,1360.379
1985,1360.649
1986,1360.61
1987,1360.581
1988,1361.018
1989,1361.256
1990,1361.579
1991,1360.954
1992,1361.377
1993,1361.161
1994,1360.568
1995,1360.711
1996,1360.597
1997,1360.691
1998,1361.042
1999,1361.476
2000,1361.729
2001,1361.849
2002,1362.247
2003,1361.639
2004,1361.017
2005,1360.684
2006,1360.762
2007,1360.445
2008,1360.525
2009,1360.389
2010,1360.546
2011,1360.745
2012,1361.123
2013,1360.98
2014,1360.926
2015,1361.285
2016,1360.962
2017,1360.52
